game_id,title,region,system,language,updated_from_redump
SLUS-00009,Defcon 5 - Peace Has a Price... (USA),NTSC-U,PSX,E,1
SLUS-01429,"Delta Force Urban Warfare (USA) (En,Fr,Es)",NTSC-U,PSX,"E, F, S",1
SLUS-00969,Demolition Racer (USA),NTSC-U,PSX,E,1
SLUS-00037,Descent (USA),NTSC-U,PSX,E,1
SLUS-00460,Descent Maximum (USA),NTSC-U,PSX,E,1
SLUS-00732,Destrega (USA),NTSC-U,PSX,E,1
SCUS-94302,Destruction Derby (USA),NTSC-U,PSX,E,1
SCUS-94350,Destruction Derby 2 (USA),NTSC-U,PSX,E,1
SLUS-00912,Destruction Derby Raw (USA),NTSC-U,PSX,E,1
SLUS-01221,Detective Barbie - The Mystery Cruise (USA),NTSC-U,PSX,E,1
SLUS-00672,Devil Dice (USA),NTSC-U,PSX,E,1
SLUS-01421,Dexter's Laboratory - Mandark's Lab (USA),NTSC-U,PSX,E,1
SLUS-00619,"Diablo (USA) (En,Fr,De,Sv)",NTSC-U,PSX,"E, F, G, Sw",1
SLUS-00119,Die Hard Trilogy (USA),NTSC-U,PSX,E,1
SLUS-01015,Die Hard Trilogy 2 - Viva Las Vegas (USA),NTSC-U,PSX,E,1
SLUS-01328,Digimon - Digital Card Battle (USA),NTSC-U,PSX,E,1
SLUS-01404,Digimon Rumble Arena (USA),NTSC-U,PSX,E,1
SLUS-01032,Digimon World (USA),NTSC-U,PSX,E,1
SLUS-01193,Digimon World 2 (USA),NTSC-U,PSX,E,1
SLUS-01436,Digimon World 3 (USA),NTSC-U,PSX,E,1
SLUS-00922,DINO CRISIS  - (Disc 1),NTSC-U,PSX,E,0
SLUS-90064,DINO CRISIS  - (Disc 2),NTSC-U,PSX,E,0
SLUS-01279,"Dino Crisis 2 (USA) (En,Ja)",NTSC-U,PSX,E,1
SLUS-01552,Dirt Jockey - Heavy Equipment Operator (USA) (Beta) (2003-04-02),NTSC-U,PSX,E,1
SCUS-94600,DISCWORLD,NTSC-U,PSX,E,0
SCUS-94605,Discworld II - Mortality Bytes! (USA),NTSC-U,PSX,E,1
SLUS-01574,Disney's 101 Dalmatians II - Patch's London Adventure (USA),NTSC-U,PSX,E,1
SLUS-01152,Disney's 102 Dalmatians - Puppies to the Rescue (USA),NTSC-U,PSX,E,1
SLUS-07013CE,DISNEY ACTION GAMES COLLECTORS' EDITION,NTSC-U,PSX,E,0
SCUS-94569,Disney's Aladdin in Nasira's Revenge (USA),NTSC-U,PSX,E,1
SCUS-94636,Disney's Atlantis - The Lost Empire (USA),NTSC-U,PSX,E,1
SLUS-01167,Disney's Dinosaur (USA),NTSC-U,PSX,E,1
SLUS-01242,Disney's Donald Duck - Goin' Quackers (USA),NTSC-U,PSX,E,1
SLUS-01209,Disney's Goofy's Fun House (USA),NTSC-U,PSX,E,1
SLUS-00529,Disney's Hercules Action Game (USA) (Rerelease),NTSC-U,PSX,E,1
SLUS-01029,DISNEY'S HERCULES - THE ACTION GAME,NTSC-U,PSX,E,0
SCUS-94646,Disney's Lilo & Stitch (USA),NTSC-U,PSX,E,1
SLUS-01038,Disney's Story Studio - Mulan (USA),NTSC-U,PSX,E,1
SCUS-94643,Peter Pan in Disney's Return to Never Land (USA),NTSC-U,PSX,E,1
SLUS-01583,DISNEY'S PETER PAN IN RETURN TO NEVERLAND,NTSC-U,PSX,E,0
SLUS-01437,Disney's Pooh's Party Game - In Search of the Treasure (USA),NTSC-U,PSX,E,1
SCUS-94456,Disney's Tarzan (USA) (Rerelease),NTSC-U,PSX,E,1
SCUS-94571,Disney's The Emperor's New Groove (USA),NTSC-U,PSX,E,1
SLUS-01282,Disney's The Lion King - Simba's Mighty Adventure (USA),NTSC-U,PSX,E,1
SLUS-01286,Disney's The Little Mermaid II (USA),NTSC-U,PSX,E,1
SLUS-01210,Disney Presents Tigger's Honey Hunt (USA) (Rerelease),NTSC-U,PSX,E,1
SCUS-94647,Disney's Treasure Planet (USA),NTSC-U,PSX,E,1
SLUS-01513,Disney's Winnie the Pooh - Kindergarten (USA),NTSC-U,PSX,E,1
SLUS-01514,Disney's Winnie the Pooh - Preschool (USA),NTSC-U,PSX,E,1
SCUS-94288,Disney-Pixar A Bug's Life (USA) (Rerelease),NTSC-U,PSX,E,1
SLUS-01192,Disney-Pixar Buzz Lightyear of Star Command (USA),NTSC-U,PSX,E,1
SCUS-94635,"Disney-Pixar Monsters, Inc. - Scream Team (USA)",NTSC-U,PSX,E,1
SLUS-00893,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Rev 1),NTSC-U,PSX,E,1
SLUS-01214,Disney-Pixar Toy Story Racer (USA),NTSC-U,PSX,E,1
SLUS-00224,Disruptor (USA),NTSC-U,PSX,E,1
SLUS-00077,Doom (USA),NTSC-U,PSX,E,1
SLUS-01576,Nick Jr. Dora the Explorer - Barnyard Buddies (USA),NTSC-U,PSX,E,1
SLUS-01579,DR. SEUSS - THE CAT IN THE HAT,NTSC-U,PSX,E,0
SLUS-01284,Dracula - The Resurrection (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01316,Dracula - The Resurrection (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-01440,Dracula - The Last Sanctuary (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-01443,DRACULA 2 - THE LAST SANCTUARY  - (Disc 2),NTSC-U,PSX,E,0
SLUS-00493,Dragon Ball GT - Final Bout (USA),NTSC-U,PSX,E,1
SLUS-01550,Dragon Ball Z - Ultimate Battle 22 (USA),NTSC-U,PSX,E,1
SLUS-00734,Dragon Seeds (USA),NTSC-U,PSX,E,1
SLUS-01176,Dragon Tales - Dragonseek (USA),NTSC-U,PSX,E,1
SLUS-01092,Dragon Valor (USA) (Disc 1),NTSC-U,PSX,E,1
